name,version_number,release_date
DF 50.07,50.07,2023-02-07
DF 50.08,50.08,2023-05-02
DF 50.09,50.09,2023-06-28
DF 50.10,50.10,2023-09-19
DF 50.11,50.11,2023-10-03
DF 50.12,50.12,2024-03-06
DF 50.13,50.13,2024-04-23
DF 50.14,50.14,2024-09-25
DF 50.15,50.15,2024-12-12
DF 51.02,51.02,2025-01-23
DF 51.05,51.05,2025-02-12
DF 51.06,51.06,2025-02-26
DF 51.07,51.07,2025-03-12
DF 51.08,51.08,2025-03-13
DF 51.09,51.09,2025-04-02
DF 51.10,51.10,2025-04-03
DF 51.11,51.11,2025-04-21
DF 51.12,51.12,2025-06-26
DF 51.13,51.13,2025-06-27
DF 52.01,52.01,2025-07-21
DF 52.02,52.02,2025-07-24
DF 52.03,52.03,2025-08-07
DF 52.04,52.04,2025-08-28
DF 52.05,52.05,2025-10-01
DF 53.01,53.01,2025-11-03
DF 53.02,53.02,2025-11-04
DF 53.03,53.03,2025-11-10
DF 53.04,53.04,2025-11-17
DF 53.05,53.05,2025-11-18
DF 53.06,53.06,2025-11-24
